,2,3,4,5,6,7,8,9,10,11
2 | 2,2,2,1,1,1,1,0,0,0,0
3 | 3,2,2,1,1,1,1,0,0,0,0
4 | 4,0,0,0,2,2,0,0,0,0,0
5 | 5,0,0,0,0,0,0,0,0,0,0
6 | 6,2,1,1,1,1,0,0,0,0,0
7 | 7,1,1,1,1,1,1,0,0,0,0
8 | 8,1,1,1,1,1,1,1,1,1,1
9 | 9,1,1,1,1,1,0,1,1,0,0
10 | 10,0,0,0,0,0,0,0,0,0,0
11|11,1,1,1,1,1,1,1,1,1,1
