,5,3,4,5,6,7,8,9,10,11
A | 5,6,6,6,5,5,6,6,6,6,6
A | 3,6,6,6,5,5,6,6,6,6,6
A | 4,6,6,5,5,5,6,6,6,6,6
A | 5,6,6,5,5,5,6,6,6,6,6
A | 6,6,5,5,5,5,6,6,6,6,6
A | 7,6,6,6,6,6,4,4,6,6,6
A | 8,4,4,4,4,6,4,4,4,4,4
A | 9,4,4,4,4,4,4,4,4,4,4
